matricula,nome,curso
202816,Ana Beatriz Souza,Engenharia de Software
202646,Bruno Carvalho Lima,Medicina
202804,Carla Menezes Rocha,Direito
202899,Daniel Freitas Alves,Direito
202883,Eduarda Nunes Pinto,Engenharia de Software
202855,Felipe Moreira Castro,Medicina
202659,Gabriela Torres Dias,Engenharia de Software
202817,Henrique Barbosa Melo,Medicina
202859,Isabela Cardoso Ramos,Ciencias Contabeis
202984,Joao Pedro Antunes,Ciencias Contabeis
202907,Karina Lopes Ferreira,Direito
202851,Lucas Vieira Guedes,Ciencias Contabeis
202803,Mariana Teixeira Prado,Direito
202868,Nicolas Almeida Cruz,Engenharia de Software
202732,Olivia Ribeiro Sampaio,Ciencias Contabeis
202815,Paulo Cesar Bastos,Ciencias Contabeis
202888,Quezia Martins Duarte,Medicina
202845,Rafael Coelho Bezerra,Administracao
202862,Sabrina Farias Monteiro,Medicina
202865,Thiago Nogueira Pires,Ciencias Contabeis
