nome,tempo
Ana Beatriz Souza,788.22
Bruno Carvalho Lima,705.16
Carla Menezes Rocha,841.17
Daniel Freitas Alves,764.75
Eduarda Nunes Pinto,721.07
Felipe Moreira Castro,616.41
Gabriela Torres Dias,629.32
Henrique Barbosa Melo,787.42
Isabela Cardoso Ramos,840.57
Joao Pedro Antunes,744.09
Karina Lopes Ferreira,732.42
Lucas Vieira Guedes,668.67
Mariana Teixeira Prado,802.61
Nicolas Almeida Cruz,814.84
Olivia Ribeiro Sampaio,646.71
Paulo Cesar Bastos,798.14
Quezia Martins Duarte,652.94
Rafael Coelho Bezerra,740.18
Sabrina Farias Monteiro,644.31
Thiago Nogueira Pires,801.76
Ursula Amaral Fontes,632.87
Vinicius Peixoto Braga,774.63
Wesley Tavares Goncalves,758.62
Yasmin Cordeiro Leal,768.30
Zeca Miranda Bandeira,690.90
Amanda Rezende Vasconcelos,831.63
Bernardo Siqueira Pontes,631.39
Camila Aguiar Fialho,770.83
Diego Marques Bittencourt,616.90
Elisa Fontenele Macedo,670.78
