nome,telefone
Amanda Rezende Vasconcelos,(86) 91430-6791
Ana Beatriz Souza,(86) 99519-3725
Bernardo Siqueira Pontes,(86) 99689-3001
Carla Menezes Rocha,(86) 97037-4552
Daniel Freitas Alves,(86) 92244-3786
Diego Marques Bittencourt,(86) 98492-7642
Elisa Fontenele Macedo,(86) 92819-2731
Fabio Quirino Andrade,(86) 97814-7568
Gabriela Torres Dias,(86) 91094-5002
Hugo Valente Mesquita,(86) 94221-1837
Lucas Vieira Guedes,(86) 95303-3768
Marcelo Aragao Pessoa,(86) 99597-5364
Mariana Teixeira Prado,(86) 97131-2385
Natalia Correia Vilar,(86) 95183-3746
Olivia Ribeiro Sampaio,(86) 91595-4580
Paulo Cesar Bastos,(86) 92895-8330
Quezia Martins Duarte,(86) 91582-6827
Rafael Coelho Bezerra,(86) 98650-9445
Thiago Nogueira Pires,(86) 91567-4113
Ursula Amaral Fontes,(86) 98888-1770
