nome,telefone
Amanda Rezende Vasconcelos,(86) 95772-2492
Bernardo Siqueira Pontes,(86) 93758-2073
Eduarda Nunes Pinto,(86) 95573-4352
Felipe Moreira Castro,(86) 91119-5700
Giovana Serpa Lacerda,(86) 91714-8723
Henrique Barbosa Melo,(86) 95249-2168
Hugo Valente Mesquita,(86) 99954-3745
Ingrid Sales Portela,(86) 99969-9465
Isabela Cardoso Ramos,(86) 99850-4899
Joao Pedro Antunes,(86) 99114-1872
Karina Lopes Ferreira,(86) 99874-6767
Larissa Bonfim Cavalcanti,(86) 94740-9794
Nicolas Almeida Cruz,(86) 97438-8602
Otavio Pimentel Rangel,(86) 92432-4969
Paulo Cesar Bastos,(86) 91515-1247
Priscila Xavier Drummond,(86) 97774-7321
Sabrina Farias Monteiro,(86) 92464-8227
Ursula Amaral Fontes,(86) 93924-3811
Vinicius Peixoto Braga,(86) 94881-3696
Zeca Miranda Bandeira,(86) 94266-9271
