cpf,nome,cargo
462.933.955-76,Ana Beatriz Souza,Contador
914.138.754-32,Bruno Carvalho Lima,Desenvolvedor Pleno
406.481.659-43,Carla Menezes Rocha,Gerente Comercial
831.857.203-12,Daniel Freitas Alves,Tecnico de Suporte
322.970.969-99,Eduarda Nunes Pinto,Diretor Financeiro
414.686.145-60,Felipe Moreira Castro,Contador
651.628.931-92,Gabriela Torres Dias,Gerente Comercial
620.207.187-28,Henrique Barbosa Melo,Contador
441.660.367-49,Isabela Cardoso Ramos,Analista de RH
855.706.778-34,Joao Pedro Antunes,Gerente Comercial
399.402.654-46,Karina Lopes Ferreira,Estagiario
237.497.293-90,Lucas Vieira Guedes,Analista de RH
967.720.763-71,Mariana Teixeira Prado,Contador
464.931.890-78,Nicolas Almeida Cruz,Gerente Comercial
839.628.130-32,Olivia Ribeiro Sampaio,Estagiario
652.248.267-13,Paulo Cesar Bastos,Desenvolvedor Pleno
627.783.821-92,Quezia Martins Duarte,Analista de RH
962.483.165-57,Rafael Coelho Bezerra,Coordenador de TI
321.644.257-86,Sabrina Farias Monteiro,Diretor Financeiro
354.229.208-51,Thiago Nogueira Pires,Recepcionista
209.994.957-19,Ursula Amaral Fontes,Contador
368.731.408-92,Vinicius Peixoto Braga,Desenvolvedor Pleno
456.585.610-25,Wesley Tavares Goncalves,Tecnico de Suporte
631.352.948-55,Yasmin Cordeiro Leal,Recepcionista
699.453.184-18,Zeca Miranda Bandeira,Desenvolvedor Pleno
