aluno,arquivo,paginas
Ana Beatriz Souza,relatorio_final.pdf,22
Bruno Carvalho Lima,tcc_capitulo1.docx,6
Carla Menezes Rocha,lista_exercicios.pdf,36
Daniel Freitas Alves,slides_seminario.pptx,35
Eduarda Nunes Pinto,artigo_cientifico.pdf,19
Felipe Moreira Castro,planilha_custos.xlsx,19
Gabriela Torres Dias,mapa_conceitual.png,30
Henrique Barbosa Melo,resumo_aula.docx,10
Isabela Cardoso Ramos,prova_simulada.pdf,42
Joao Pedro Antunes,fichamento.docx,37
Karina Lopes Ferreira,cronograma.pdf,20
Lucas Vieira Guedes,diagrama_classes.png,2
Mariana Teixeira Prado,manual_laboratorio.pdf,24
Nicolas Almeida Cruz,referencias.docx,24
Olivia Ribeiro Sampaio,poster_congresso.pdf,30
