email,senha_hash
ana.souza@icev.edu.br,4dcf9995e151750058e39332b6bd967bef5c8d0e22d6204abca58f3cc2401b48
bruno.lima@icev.edu.br,36a56f16f4dc267aba478ac6c517d0ac107e59c2adc4353bd29bc610a9a37ea4
carla.rocha@icev.edu.br,d27881f49e902cb91df0cc53a3ae2ee76e035797b5a2d5dcf8c70d0e51f2c6fb
daniel.alves@icev.edu.br,f1103ba73b477a5e58fac3f998f7a2f5d0ef07b587b339935db9438e033200c9
eduarda.pinto@icev.edu.br,668361c3112d40a8d6b59a42cf3a70a45582d73d1ddef4149a4ce378293a733e
felipe.castro@icev.edu.br,26933962647e1a6c34a877d50e36bbfa3563f16ddaf87530d72e4153221c4a97
gabriela.dias@icev.edu.br,bfc624d2ddfb9be2ac5444b5fde90c708412cbd168dfde8c4bdb5c183ed78c62
henrique.melo@icev.edu.br,3dbfc624976acbb7600d0067ca4d45a63cdde7106f83cf736c692907d8e6ebfc
isabela.ramos@icev.edu.br,88f9da61ffb7c39524427af31d1d3ee323fdd9473442490eb2d09c6002eb3ee1
joao.antunes@icev.edu.br,27e9764aa0fe20abbdbf92cea346d724a94d6aa73841b4389c1446202f42c931
karina.ferreira@icev.edu.br,dcbbcbca0531035cd490c149d5637f0571841243ed89931bfb292ba270d409db
lucas.guedes@icev.edu.br,caacf9b251fc43c59d055d648e96b056fa85f0245406b0ad26637162b7896089
mariana.prado@icev.edu.br,66cdbe2a5acd9932fad66ffa3a7236cee4220863513d9984e24f55242b927247
nicolas.cruz@icev.edu.br,8dc9026e253f151d53ca726104ee953a1dcf3e2c30363746d35983acecd341ab
olivia.sampaio@icev.edu.br,beb0ecf7910f14e08c2c88437f5035b6764b8e853fee96543f4cd52bcbdc4336
paulo.bastos@icev.edu.br,897fd3e9201496c33a6b883ffa749318639ace89b84b33c67c41681720386499
quezia.duarte@icev.edu.br,01584abd2c766643142184c17d2cf55c176506255a6996ed139c81e5108327b7
rafael.bezerra@icev.edu.br,d143e0cf5d570cef883acc112df9b80bdc0c59431f1df682d31cb309bd09c5d6
sabrina.monteiro@icev.edu.br,d411456e8cef4afa49df4ec5aabe64690d93107ae83309018f825044b31a57d5
thiago.pires@icev.edu.br,e53aa929e7ddb9fb3eb9ae92c0d099d11d50987adcb333a9622efd19e6543d9c
